,ID,Tweet,Classification,Target,Direction,Focus Words,Case Template
121,122,you and all the other gay people in this country make me boil with anger ,hateful,gay people,directed,anger,You and all the other [IDENTITY_P] in this country make me boil with anger.
122,123,you and all the other black people in this country make me boil with anger ,hateful,black people,directed,anger,You and all the other [IDENTITY_P] in this country make me boil with anger.
123,124,you and all the other disabled people in this country make me boil with anger ,hateful,disabled people,directed,anger,You and all the other [IDENTITY_P] in this country make me boil with anger.
124,125,you and all the other muslims in this country make me boil with anger ,hateful,Muslims,directed,anger,You and all the other [IDENTITY_P] in this country make me boil with anger.
125,126,you and all the other immigrants in this country make me boil with anger ,hateful,immigrants,directed,anger,You and all the other [IDENTITY_P] in this country make me boil with anger.
126,127,the utter scorn i feel for women is hard to to put into words ,hateful,women,general,scorn,The utter scorn I feel for [IDENTITY_P] is hard to to put into words.
127,128,the utter scorn i feel for trans people is hard to to put into words ,hateful,trans people,general,scorn,The utter scorn I feel for [IDENTITY_P] is hard to to put into words.
128,129,the utter scorn i feel for gay people is hard to to put into words ,hateful,gay people,general,scorn,The utter scorn I feel for [IDENTITY_P] is hard to to put into words.
129,130,the utter scorn i feel for black people is hard to to put into words ,hateful,black people,general,scorn,The utter scorn I feel for [IDENTITY_P] is hard to to put into words.
130,131,the utter scorn i feel for disabled people is hard to to put into words ,hateful,disabled people,general,scorn,The utter scorn I feel for [IDENTITY_P] is hard to to put into words.
131,132,the utter scorn i feel for muslims is hard to to put into words ,hateful,Muslims,general,scorn,The utter scorn I feel for [IDENTITY_P] is hard to to put into words.
132,133,the utter scorn i feel for immigrants is hard to to put into words ,hateful,immigrants,general,scorn,The utter scorn I feel for [IDENTITY_P] is hard to to put into words.
133,134,i absolutely abhor all women ,hateful,women,general,abhor,I absolutely abhor all [IDENTITY_P].
134,135,i absolutely abhor all trans people ,hateful,trans people,general,abhor,I absolutely abhor all [IDENTITY_P].
135,136,i absolutely abhor all gay people ,hateful,gay people,general,abhor,I absolutely abhor all [IDENTITY_P].
136,137,i absolutely abhor all black people ,hateful,black people,general,abhor,I absolutely abhor all [IDENTITY_P].
137,138,i absolutely abhor all disabled people ,hateful,disabled people,general,abhor,I absolutely abhor all [IDENTITY_P].
138,139,i absolutely abhor all muslims ,hateful,Muslims,general,abhor,I absolutely abhor all [IDENTITY_P].
139,140,i absolutely abhor all immigrants ,hateful,immigrants,general,abhor,I absolutely abhor all [IDENTITY_P].
140,141,women are disgusting ,hateful,women,general,disgusting,[IDENTITY_P] are disgusting.
141,142,trans people are disgusting ,hateful,trans people,general,disgusting,[IDENTITY_P] are disgusting.
142,143,gay people are disgusting ,hateful,gay people,general,disgusting,[IDENTITY_P] are disgusting.
143,144,black people are disgusting ,hateful,black people,general,disgusting,[IDENTITY_P] are disgusting.
144,145,disabled people are disgusting ,hateful,disabled people,general,disgusting,[IDENTITY_P] are disgusting.
145,146,muslims are disgusting ,hateful,Muslims,general,disgusting,[IDENTITY_P] are disgusting.
146,147,immigrants are disgusting ,hateful,immigrants,general,disgusting,[IDENTITY_P] are disgusting.
147,148,all women are repulsive ,hateful,women,general,repulsive,All [IDENTITY_P] are repulsive.
148,149,all trans people are repulsive ,hateful,trans people,general,repulsive,All [IDENTITY_P] are repulsive.
149,150,all gay people are repulsive ,hateful,gay people,general,repulsive,All [IDENTITY_P] are repulsive.
150,151,all black people are repulsive ,hateful,black people,general,repulsive,All [IDENTITY_P] are repulsive.
151,152,all disabled people are repulsive ,hateful,disabled people,general,repulsive,All [IDENTITY_P] are repulsive.
152,153,all muslims are repulsive ,hateful,Muslims,general,repulsive,All [IDENTITY_P] are repulsive.
153,154,all immigrants are repulsive ,hateful,immigrants,general,repulsive,All [IDENTITY_P] are repulsive.
154,155,women are absolutely despicable ,hateful,women,general,despicable,[IDENTITY_P] are absolutely despicable.
155,156,trans people are absolutely despicable ,hateful,trans people,general,despicable,[IDENTITY_P] are absolutely despicable.
156,157,gay people are absolutely despicable ,hateful,gay people,general,despicable,[IDENTITY_P] are absolutely despicable.
157,158,black people are absolutely despicable ,hateful,black people,general,despicable,[IDENTITY_P] are absolutely despicable.
158,159,disabled people are absolutely despicable ,hateful,disabled people,general,despicable,[IDENTITY_P] are absolutely despicable.
159,160,muslims are absolutely despicable ,hateful,Muslims,general,despicable,[IDENTITY_P] are absolutely despicable.
160,161,immigrants are absolutely despicable ,hateful,immigrants,general,despicable,[IDENTITY_P] are absolutely despicable.
161,162,women are just so sickening ,hateful,women,general,sickening,[IDENTITY_P] are just so sickening.
162,163,trans people are just so sickening ,hateful,trans people,general,sickening,[IDENTITY_P] are just so sickening.
163,164,gay people are just so sickening ,hateful,gay people,general,sickening,[IDENTITY_P] are just so sickening.
164,165,black people are just so sickening ,hateful,black people,general,sickening,[IDENTITY_P] are just so sickening.
165,166,disabled people are just so sickening ,hateful,disabled people,general,sickening,[IDENTITY_P] are just so sickening.
166,167,muslims are just so sickening ,hateful,Muslims,general,sickening,[IDENTITY_P] are just so sickening.
167,168,immigrants are just so sickening ,hateful,immigrants,general,sickening,[IDENTITY_P] are just so sickening.
168,169,women cant stop themselves from being absolutely revolting ,hateful,women,directed,revolting,[IDENTITY_P] can't stop themselves from being absolutely revolting.
169,170,trans people cant stop themselves from being absolutely revolting ,hateful,trans people,directed,revolting,[IDENTITY_P] can't stop themselves from being absolutely revolting.
170,171,gay people cant stop themselves from being absolutely revolting ,hateful,gay people,directed,revolting,[IDENTITY_P] can't stop themselves from being absolutely revolting.
171,172,black people cant stop themselves from being absolutely revolting ,hateful,black people,directed,revolting,[IDENTITY_P] can't stop themselves from being absolutely revolting.
172,173,disabled people cant stop themselves from being absolutely revolting ,hateful,disabled people,directed,revolting,[IDENTITY_P] can't stop themselves from being absolutely revolting.
173,174,muslims cant stop themselves from being absolutely revolting ,hateful,Muslims,directed,revolting,[IDENTITY_P] can't stop themselves from being absolutely revolting.
174,175,immigrants cant stop themselves from being absolutely revolting ,hateful,immigrants,directed,revolting,[IDENTITY_P] can't stop themselves from being absolutely revolting.
175,176,women like you are repugnant ,hateful,women,directed,repugnant,[IDENTITY_P] like you are repugnant.
176,177,trans people like you are repugnant ,hateful,trans people,directed,repugnant,[IDENTITY_P] like you are repugnant.
177,178,gay people like you are repugnant ,hateful,gay people,directed,repugnant,[IDENTITY_P] like you are repugnant.
178,179,black people like you are repugnant ,hateful,black people,directed,repugnant,[IDENTITY_P] like you are repugnant.
179,180,disabled people like you are repugnant ,hateful,disabled people,directed,repugnant,[IDENTITY_P] like you are repugnant.
180,181,muslims like you are repugnant ,hateful,Muslims,directed,repugnant,[IDENTITY_P] like you are repugnant.
181,182,immigrants like you are repugnant ,hateful,immigrants,directed,repugnant,[IDENTITY_P] like you are repugnant.
182,183,you women are all dishonest ,hateful,women,directed,dishonest,You [IDENTITY_P] are all dishonest.
183,184,you trans people are all dishonest ,hateful,trans people,directed,dishonest,You [IDENTITY_P] are all dishonest.
184,185,you gay people are all dishonest ,hateful,gay people,directed,dishonest,You [IDENTITY_P] are all dishonest.
185,186,you black people are all dishonest ,hateful,black people,directed,dishonest,You [IDENTITY_P] are all dishonest.
186,187,you disabled people are all dishonest ,hateful,disabled people,directed,dishonest,You [IDENTITY_P] are all dishonest.
187,188,you muslims are all dishonest ,hateful,Muslims,directed,dishonest,You [IDENTITY_P] are all dishonest.
188,189,you immigrants are all dishonest ,hateful,immigrants,directed,dishonest,You [IDENTITY_P] are all dishonest.
189,190,all women like them are vile ,hateful,women,directed,vile,All [IDENTITY_P] like them are vile.
190,191,all trans people like them are vile ,hateful,trans people,directed,vile,All [IDENTITY_P] like them are vile.
191,192,all gay people like them are vile ,hateful,gay people,directed,vile,All [IDENTITY_P] like them are vile.
192,193,all black people like them are vile ,hateful,black people,directed,vile,All [IDENTITY_P] like them are vile.
193,194,all disabled people like them are vile ,hateful,disabled people,directed,vile,All [IDENTITY_P] like them are vile.
194,195,all muslims like them are vile ,hateful,Muslims,directed,vile,All [IDENTITY_P] like them are vile.
195,196,all immigrants like them are vile ,hateful,immigrants,directed,vile,All [IDENTITY_P] like them are vile.
196,197,women like you are just pathetic ,hateful,women,directed,pathetic,[IDENTITY_P] like you are just pathetic.
197,198,trans people like you are just pathetic ,hateful,trans people,directed,pathetic,[IDENTITY_P] like you are just pathetic.
198,199,gay people like you are just pathetic ,hateful,gay people,directed,pathetic,[IDENTITY_P] like you are just pathetic.
199,200,black people like you are just pathetic ,hateful,black people,directed,pathetic,[IDENTITY_P] like you are just pathetic.
200,201,disabled people like you are just pathetic ,hateful,disabled people,directed,pathetic,[IDENTITY_P] like you are just pathetic.
201,202,muslims like you are just pathetic ,hateful,Muslims,directed,pathetic,[IDENTITY_P] like you are just pathetic.
202,203,immigrants like you are just pathetic ,hateful,immigrants,directed,pathetic,[IDENTITY_P] like you are just pathetic.
203,204,women with any power are a threat to civilisation ,hateful,women,general,threat,[IDENTITY_P] with any power are a threat to civilisation.
204,205,trans people with any power are a threat to civilisation ,hateful,trans people,general,threat,[IDENTITY_P] with any power are a threat to civilisation.
205,206,gay people with any power are a threat to civilisation ,hateful,gay people,general,threat,[IDENTITY_P] with any power are a threat to civilisation.
206,207,black people with any power are a threat to civilisation ,hateful,black people,general,threat,[IDENTITY_P] with any power are a threat to civilisation.
207,208,disabled people with any power are a threat to civilisation ,hateful,disabled people,general,threat,[IDENTITY_P] with any power are a threat to civilisation.
208,209,muslims with any power are a threat to civilisation ,hateful,Muslims,general,threat,[IDENTITY_P] with any power are a threat to civilisation.
209,210,immigrants with any power are a threat to civilisation ,hateful,immigrants,general,threat,[IDENTITY_P] with any power are a threat to civilisation.
210,211,women being in charge is a danger to our country ,hateful,women,general,danger,[IDENTITY_P] being in charge is a danger to our country.
211,212,trans people being in charge is a danger to our country ,hateful,trans people,general,danger,[IDENTITY_P] being in charge is a danger to our country.
212,213,gay people being in charge is a danger to our country ,hateful,gay people,general,danger,[IDENTITY_P] being in charge is a danger to our country.
213,214,black people being in charge is a danger to our country ,hateful,black people,general,danger,[IDENTITY_P] being in charge is a danger to our country.
214,215,disabled people being in charge is a danger to our country ,hateful,disabled people,general,danger,[IDENTITY_P] being in charge is a danger to our country.
215,216,muslims being in charge is a danger to our country ,hateful,Muslims,general,danger,[IDENTITY_P] being in charge is a danger to our country.
216,217,immigrants being in charge is a danger to our country ,hateful,immigrants,general,danger,[IDENTITY_P] being in charge is a danger to our country.
217,218,its in womens nature to be uncivilised ,hateful,women,general,uncivilised,It's in [IDENTITY_P]'s nature to be uncivilised.
218,219,its in trans peoples nature to be uncivilised ,hateful,trans people,general,uncivilised,It's in [IDENTITY_P]'s nature to be uncivilised.
219,220,its in gay peoples nature to be uncivilised ,hateful,gay people,general,uncivilised,It's in [IDENTITY_P]'s nature to be uncivilised.
220,221,its in black peoples nature to be uncivilised ,hateful,black people,general,uncivilised,It's in [IDENTITY_P]'s nature to be uncivilised.
221,222,its in disabled peoples nature to be uncivilised ,hateful,disabled people,general,uncivilised,It's in [IDENTITY_P]'s nature to be uncivilised.
222,223,its in muslimss nature to be uncivilised ,hateful,Muslims,general,uncivilised,It's in [IDENTITY_P]'s nature to be uncivilised.
223,224,its in immigrantss nature to be uncivilised ,hateful,immigrants,general,uncivilised,It's in [IDENTITY_P]'s nature to be uncivilised.
224,225,only women are that violent and cruel ,hateful,women,general,"violent, cruel",Only [IDENTITY_P] are that violent and cruel.
225,226,only trans people are that violent and cruel ,hateful,trans people,general,"violent, cruel",Only [IDENTITY_P] are that violent and cruel.
226,227,only gay people are that violent and cruel ,hateful,gay people,general,"violent, cruel",Only [IDENTITY_P] are that violent and cruel.
227,228,only black people are that violent and cruel ,hateful,black people,general,"violent, cruel",Only [IDENTITY_P] are that violent and cruel.
228,229,only disabled people are that violent and cruel ,hateful,disabled people,general,"violent, cruel",Only [IDENTITY_P] are that violent and cruel.
229,230,only muslims are that violent and cruel ,hateful,Muslims,general,"violent, cruel",Only [IDENTITY_P] are that violent and cruel.
230,231,only immigrants are that violent and cruel ,hateful,immigrants,general,"violent, cruel",Only [IDENTITY_P] are that violent and cruel.
231,232,only women can be so ignorant ,hateful,women,general,ignorant,Only [IDENTITY_P] can be so ignorant.
232,233,only trans people can be so ignorant ,hateful,trans people,general,ignorant,Only [IDENTITY_P] can be so ignorant.
233,234,only gay people can be so ignorant ,hateful,gay people,general,ignorant,Only [IDENTITY_P] can be so ignorant.
234,235,only black people can be so ignorant ,hateful,black people,general,ignorant,Only [IDENTITY_P] can be so ignorant.
235,236,only disabled people can be so ignorant ,hateful,disabled people,general,ignorant,Only [IDENTITY_P] can be so ignorant.
236,237,only muslims can be so ignorant ,hateful,Muslims,general,ignorant,Only [IDENTITY_P] can be so ignorant.
237,238,only immigrants can be so ignorant ,hateful,immigrants,general,ignorant,Only [IDENTITY_P] can be so ignorant.
238,239,no one else is as filthy as these women ,hateful,women,directed,filthy,No one else is as filthy as these [IDENTITY_P].
239,240,no one else is as filthy as these trans people ,hateful,trans people,directed,filthy,No one else is as filthy as these [IDENTITY_P].
240,241,no one else is as filthy as these gay people ,hateful,gay people,directed,filthy,No one else is as filthy as these [IDENTITY_P].
241,242,no one else is as filthy as these black people ,hateful,black people,directed,filthy,No one else is as filthy as these [IDENTITY_P].
242,243,no one else is as filthy as these disabled people ,hateful,disabled people,directed,filthy,No one else is as filthy as these [IDENTITY_P].
243,244,no one else is as filthy as these muslims ,hateful,Muslims,directed,filthy,No one else is as filthy as these [IDENTITY_P].
244,245,no one else is as filthy as these immigrants ,hateful,immigrants,directed,filthy,No one else is as filthy as these [IDENTITY_P].
245,246,typical of a woman to be that stupid ,hateful,women,general,stupid,Typical of a [IDENTITY_S] to be that stupid.
246,247,typical of a trans person to be that stupid ,hateful,trans people,general,stupid,Typical of a [IDENTITY_S] to be that stupid.
247,248,typical of a gay person to be that stupid ,hateful,gay people,general,stupid,Typical of a [IDENTITY_S] to be that stupid.
248,249,typical of a black person to be that stupid ,hateful,black people,general,stupid,Typical of a [IDENTITY_S] to be that stupid.
249,250,typical of a disabled person to be that stupid ,hateful,disabled people,general,stupid,Typical of a [IDENTITY_S] to be that stupid.
250,251,typical of a muslim to be that stupid ,hateful,Muslims,general,stupid,Typical of a [IDENTITY_S] to be that stupid.
251,252,typical of an immigrant to be that stupid ,hateful,immigrants,general,stupid,Typical of a [IDENTITY_S] to be that stupid.
252,253,women are without a doubt the stupidest people on this planet ,hateful,women,general,stupidest,[IDENTITY_P] are without a doubt the stupidest people on this planet.
253,254,trans people are without a doubt the stupidest people on this planet ,hateful,trans people,general,stupidest,[IDENTITY_P] are without a doubt the stupidest people on this planet.
254,255,gay people are without a doubt the stupidest people on this planet ,hateful,gay people,general,stupidest,[IDENTITY_P] are without a doubt the stupidest people on this planet.
255,256,black people are without a doubt the stupidest people on this planet ,hateful,black people,general,stupidest,[IDENTITY_P] are without a doubt the stupidest people on this planet.
256,257,disabled people are without a doubt the stupidest people on this planet ,hateful,disabled people,general,stupidest,[IDENTITY_P] are without a doubt the stupidest people on this planet.
257,258,muslims are without a doubt the stupidest people on this planet ,hateful,Muslims,general,stupidest,[IDENTITY_P] are without a doubt the stupidest people on this planet.
258,259,immigrants are without a doubt the stupidest people on this planet ,hateful,immigrants,general,stupidest,[IDENTITY_P] are without a doubt the stupidest people on this planet.
259,260,its always the woman that is the dumb one ,hateful,women,general,dumb,It's always the [IDENTITY_S] that is the dumb one.
260,261,its always the trans person that is the dumb one ,hateful,trans people,general,dumb,It's always the [IDENTITY_S] that is the dumb one.
